"Notebook","Text count","Description"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq77/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq279/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Le carte di Blaise Pascal. 24.5.72 ; Saluto per un nostro libro. 29.5.72"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq106/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Soffici in tipografia. 15.7.1959 ; La montagna dietro la stazione. 20.7.59"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq64/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Le poesie di Pasternak ; Diario fiammingo ; Contemporanei di Baudelaire. Settembre 1957"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq283/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Era piovuto a sangue. 2.12.972 ; La casa di Ensor a Ostenda. 6.12.972"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq116/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Finisce la guerra. 24.3.960 ; Lettera ad Alberto Mondadori ; Le carnet de la Californie di Picasso. Aprile 1960"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq71/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Pittura e Controriforma : (Mondo) ; Il signor Carlo : (Carlino)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq389/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""L'orologiaio di Blaise Pascal. 30.11.1977 ; La lanterna magica di Henry Brulard"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq172/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Un incontro sul porto. (16.1.1963) ; La mostra bolognese di Piranesi. (28.1.1963)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq194/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""L'altare di Gries. 8.2.1964 ; L'uomo sotto il portico. 24.4.1964"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq181/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Petrarca. 20.9.1961 ; Piccola fantasia sul Petrarca : (Petrarca visto in sogno). 6.7.1963"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq126/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Il custode di Port Royal ; Verso le sei di sera : (Parigi). 18.10.1960 ; Segno e immagine di Brandi"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq228/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Convalescenza con gli inglesi. 26.4.967 ; L'eredita di Giotto. 18.5.967"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq284/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La bambina che dipinge : racconto. 14.4.1972 ; La Chiave Regina : racconto. 20.4.1972"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq372/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Mario Cavaglieri, le pitture. 1953 ; Jean Jenet ; Il dialetto"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq131/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Almanacchi, almanacchi nuovi, lunari nuovi. 10.1.1961 ; Vita e pittura di Ottone Rosai. 20.1.1961"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq322/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Appunti vari su Mario Cavaglieri. Dicembre 1953 ; Progetto di una mostra di De Pisis. Ivrea 1954"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq277/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La Negresse di Rembrandt. 5.6.72 ; Il sacrificio di Isacco. 3.8.72"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq247/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Giornate romane. 21.10.1968 ; Un poco di neve : racconto. 15.12.968"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq377/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Varie. Marzo 1953 ; Dare e avere"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq209/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Gli oggetti di Chardin. 31.8.1965 ; Ricordo di Manara Valgimigli. 16.9.1965"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq178/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""I primi eroi : (i fumetti). 2.5.1963 ; La nicchia di San Bernerdino. 7.5.1963 ; I cinquant'anni di Lacerba. 14.5.963"""
