inventario	entity_type	occurrence	wikidata	wikidata_code	VIAF_ID	wikidata_uri
RDq 182	PER	Picasso	Pablo Picasso	Q5593
RDq 182	PER	Claude Lorrain	Claude Lorrain	Q214074
RDq 184	PER	Mario Ricci	Mario Ricci	
RDq 184	PER	De Logu	Giuseppe Delogu	Q55226990
RDq 184	PER	Giuseppe De Logu	Giuseppe Delogu	Q55226990
RDq 185	PER	Longanesi	Leo Longanesi	Q1818677
RDq 185	PER	Govoni	Corrado Govoni	Q345236
RDq 185	PER	De Pisis	Filippo De Pisis	Q661473
RDq 187	PER	Delacroix	Eugène Delacroix	Q33477
RDq 187	PER	Berenson	Bernard Berenson	Q359047
RDq 188	PER	Giuseppe Gioacchino Belli	Giuseppe Gioachino Belli	Q2080788
RDq 188	PER	Andre Gide	André Gide	Q47484
RDq 188	PER	Belli	Giuseppe Gioachino Belli	Q2080788
RDq 189	PER	Il Bastianino	Sebastiano Filippi	Q3476895
RDq 192	PER	Carpaccio	Vittore Carpaccio	Q5581
RDq 193	PER	Brecht	Bertolt Brecht	Q38757
RDq 193	PER	Barilli	Bruno Barilli	Q993006
RDq 193	PER	Bruno Barilli	Bruno Barilli	Q993006
RDq 195	PER	Il Savoldo	Girolamo Savoldo	Q938442
RDq 198	PER	Julio Gonzalez	Julio González	Q316531
RDq 200	PER	G. Bonsanti	Alessandro Bonsanti	Q3609870
RDq 205	PER	Nietzsche	Friedrich Nietzsche	Q9358
RDq 205	PER	Nietzsche	Friedrich Nietzsche	Q9358
RDq 207	PER	Emilio Lovarini	Emilio Lovarini	Q19861578
RDq 207	PER	Emilio Lovarini	Emilio Lovarini	Q19861578
RDq 209	PER	Chardin	Jean-Baptiste-Siméon Chardin	Q207447
RDq 209	PER	Manara Valgimigli	Manara Valgimigli	Q3844245
RDq 210	PER	Renato Serra	Renato Serra	Q3932800
RDq 211	PER	Hemingway	Ernest Hemingway	Q23434
RDq 211	PER	Hemingway	Ernest Hemingway	Q23434
RDq 212	PER	William Blake	William Blake	Q41513
RDq 213	PER	Leopardi	Giacomo Leopardi	Q172599
RDq 214	PER	Pontormo	Pontormo	Q207929
RDq 214	PER	Proust	Marcel Proust	Q7199
RDq 215	PER	Giovanni Romagnoli	Giovanni Romagnoli	Q3768048
RDq 215	PER	Rembrandt	Rembrandt	Q5598
RDq 217	PER	Severino Ferrari	Severino Ferrari	Q3958500
RDq 219	PER	Nietzsche	Friedrich Nietzsche	Q9358
RDq 219	PER	De Pisis	Filippo De Pisis	Q661473
RDq 219	PER	Dylan Thomas	Dylan Thomas	Q191023
RDq 219	PER	Francis Bacon	Francis Bacon	Q154340
RDq 220	PER	Cardarelli	Vincenzo Cardarelli	Q922237
RDq 220	PER	Laforgue	Jules Laforgue	Q380275
RDq 220	PER	Laforgue	Jules Laforgue	Q380275
RDq 221	PER	Longanesi	Leo Longanesi	Q1818677
RDq 221	PER	Gustavo Courbet	Gustave Courbet	Q34618
RDq 221	PER	Carlo Carra	Carlo Carrà	Q168496
RDq 222	PER	Francois Villon	François Villon	Q849
RDq 223	PER	De Pisis	Filippo De Pisis	Q661473
RDq 223	PER	De Pisis	Filippo De Pisis	Q661473
RDq 224	PER	Ardengo Soffici	Ardengo Soffici	Q638877
RDq 224	PER	Stendhal	Stendhal	Q502
RDq 224	PER	Stendhal	Stendhal	Q502
RDq 225	PER	Max Ernst	Max Ernst	Q154842
RDq 226	PER	Leopardi	Giacomo Leopardi	Q172599
RDq 226	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 226	PER	Dante	Dante Alighieri	Q1067
RDq 226	PER	Leopardi	Giacomo Leopardi	Q172599
RDq 226	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 228	PER	Giotto	Giotto di Bondone	Q7814
RDq 229	PER	Cezanne	Paul Cézanne	Q35548
RDq 229	PER	Scott Fitzgerald	F. Scott Fitzgerald	Q93354
RDq 229	PER	Cezanne	Paul Cézanne	Q35548
RDq 230	PER	Villon	François Villon	Q849
RDq 234	PER	Nerval	Gérard de Nerval	Q191305
RDq 236	PER	Meryon	Charles Méryon	Q247505
RDq 236	PER	Meryon	Charles Méryon	Q247505
RDq 236	PER	Baudelaire	Charles Baudelaire	Q501
RDq 239	PER	Nanni di Banco	Nanni di Banco	Q465917
RDq 240	PER	Domenico Giordani	Domenico Giordani	Q16550375
RDq 246	PER	Magalotti	Lorenzo Magalotti	Q590501
