Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Dati scarto/cancellazione;Sezione;Collocazione;Specificazione;Sequenza;Data inv.;Stato copia;Disponibilità;Precisazione inventario;Tipo provenienza;Tipo materiale;Tipo documento;Id.;Id. SBN;Descrizione isbd;Legami con titoli superiori o supplementi
RDm 22 ;;0;0;;FR.A;CORRISP;STEFM; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625400;;"[*Biglietto da visita 1966] ottobre 3, Bologna [a Giuseppe Raimondi] / Mario Stefani. - [1966]. - 1 c. ; 68 x 105 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 23 ;;0;0;;FR.A;CORRISP;SOCRM; ;22/02/93;;;L 4, R 1;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625403;;"[*Lettere] 1947 ottobre 10 - 1948 marzo 4, Roma [a Giuseppe] Raimondi / Mario Socrate. [Lettera] 1948 marzo 6, [Bologna] [a] Mario [Socrate] / Giuseppe Raimondi. - 1947-1948. - 6 p. su 5 c. ; 295 x 220 mm + 3 buste. ((Lettera di G. R. minuta ds. non firmata.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 24 ;;0;0;;FR.A;CORRISP;SINIG; ;22/02/93;;;L 2;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625402;;"[*Lettere] 1962 gennaio 26 - 1962 febbraio 2, Firenze [a Giuseppe] Raimondi / Giulia Sinibaldi. - 1962. - 2 c. ; 226 x 143 mm + 2 buste. ((Lettere e buste su carta intestata ""Soprintendenza alle Gallerie, Firenze"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 25 ;;0;0;;FR.A;CORRISP;MORAA; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625452;;"[*Biglietto] 1966 luglio 28, Grizzana [a Giuseppe] Raimondi / Annetta, Dina e Maria Teresa Morandi. - 1966. - 1 c. ; 104 x 156 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 26 ;;0;0;;FR.A;CORRISP;MORELL; ;22/02/93;;;L 4, C 4;;Mat. document.-manoscr;Carteggio;3625455;;"[*Lettere e cartoline illustrate] 1970 luglio 6 - 1977 dicembre 2, Venezia [etc.] [a Giuseppe] Raimondi / Franco Morello. - 1970-1977. - 12 p. su 10 c. ; 315 x 210 mm + 4 buste. ((Lettere su carta intestata personale e di hotel.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 27 ;;0;0;;FR.A;CORRISP;MONTRO; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625456;;"[*Lettera] 1969 agosto 8, Bologna [a Giuseppe] Raimondi / Luigi Montroni. - 1969. - 2 p. su 1 c. ; 139 x 220 mm + 1 busta. ((Lettera ms. su carta intestata ""Universita di Bologna, Facolta di medicina veterinaria"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 28 ;;0;0;;FR.A;CORRISP;MONTC; ;22/02/93;;;L 4;;Mat. document.-manoscr;Carteggio;3625458;;"[*Lettere] 1966 aprile 1 - 1967 luglio 21, Bologna [a Giuseppe] Raimondi / Carlo Montanari. - 1966-1967. - 9 p. su 4 c. ; 339 x 220 mm + 4 buste. ((Tutte su carta intestata ""Opera pia Cassoli-Guastavillani, Bologna"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 29 ;;0;0;;FR.A;CORRISP;MOLIM; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625457;;"[*Lettera] 1963 marzo 13, Modena [a Giuseppe Raimondi] / Mario Molini. - 1963. - 1 c. ; 285 x 225 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 30 ;;0;0;;FR.A;CORRISP;MOGGG; ;22/02/93;;;;;Mat. document.-manoscr;Carteggio;3625459;;"[*Lettera] 1961 dicembre 10, Adria [a Giuseppe] Raimondi / [Giuseppe] Moggian. - 1961. - 1 c. ; 340 x 225 mm + 1 busta. ((Lettera ms. su carta intestata personale.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 31 ;;0;0;;FR.A;CORRISP;MIOTC; ;22/02/93;;;L 2, B 1;;Mat. document.-manoscr;Carteggio;3625460;;"[*Lettere e biglietto da visita] 1964 giugno 20 - 1965 Natale, Milano [a Giuseppe] Raimondi / Carlo Miotti. - 1964-1965. - 3 c. ; 303 x 210 mm + 3 buste.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
