"Notebook","Title","Page count"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq8/object","Case di Bologna. (Maggio 1954)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq20/object","La valigia delle Indie. Febbraio 1955","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq109/object","La notte di San Lorenzo. 15.8.1959 ; Neve che si scioglie. 24.8.59","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq109/object","La notte di San Lorenzo. 15.8.1959","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq283/object","Era piovuto a sangue. 2.12.972","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq283/object","Era piovuto a sangue. 2.12.972 ; La casa di Ensor a Ostenda. 6.12.972","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq350/object","Quaderno per Bonsanti. Febbraio 1950","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq198/object","Julio Gonzalez scultore. 2.9.64","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq83/object","Il Barocci a via della Lungara ; Il panierone di Cuccoli. Luglio 1958","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq83/object","Il Barocci a via della Lungara","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq372/object","Mario Cavaglieri, le pitture. 1953","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq372/object","Mario Cavaglieri, le pitture. 1953 ; Jean Jenet ; Il dialetto","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq434/object","Settembre 1950 : degli appunti per un racconto","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq285/object","Il giardino di casa. 22.3.1972 ; La cedoletta di carta gialla. 5.4.1972 ; L'uomo per terra : (Cristo)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq285/object","Il giardino di casa. 22.3.1972","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq224/object","Kobilek di Ardengo Soffici. 31.5.1966","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq224/object","Kobilek di Ardengo Soffici. 31.5.1966 ; Stendhal e la pittura italiana","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq168/object","La Cronaca Bottrigari. 21.11.1962","10 carte"
