Inventario;Specificazione;Sequenza;Titolo;Edizione;Permalink;;;;;;;;;;;;;;;;;;;;;
RDq 36;1956;04;Lavori al casello due;ED (Itinerari n. 25 1957);https://sol.unibo.it/SebinaOpac/resource/lavori-al-casello-due/UBO3680258;;;;;;;;;;;;;;;;;;;;;
RDq 37;1956;05;La valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 37;1956;;Dieci anni;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 37;1956;;Casomai;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 37;1956;;I sonetti di Pascarella;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 38;1956;06;Il salotto della Contessa Teresa Carniani Malvezzi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 39;1956;07;Il Salotto della Contessa Teresa Malvezzi (Casa Malvezzi);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 39;1956;;Il salotto di Cornelia Martinelli (Cornelia Martinelli);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 40;1956;08;Valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 40;1956;;T. S. Eliot [L'inglese Eliot];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 40;1956;;Gli scrittori e l'automobile (a matita Scrittori al microfono);;;;;;;;;;;;;;;;;;;;;;;
RDq 41;1956;09;Cornelia Martinelli;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 42;1956;10;Il Pontormo (Pittura e poesia del Pontormo);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 42;1956;;Lorenzo Montano;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 43;1956;11;Tempo di guerra;ED (Ritorno in città);https://sol.unibo.it/SebinaOpac/resource/ritorno-in-citta-8-capitoli-e-due-canti-del-popolo-bolognese/UBO0391990;;;;;;;;;;;;;;;;;;;;;
RDq 43;1956;;per Radio Milano;;;;;;;;;;;;;;;;;;;;;;;
RDq 44;1956;12;Valigia delle Indie (da fare) appunti, argomenti;;;;;;;;;;;;;;;;;;;;;;;
RDq 44;1956;;La signora di Fontainebleau;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 44;1956;;L'antologia del Selvaggio (forse Recensione a volume Neri Pozza 1955);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 44;1956;;Pascal a Port-Royal [«M. Pascal vint aussi en ce temps-là...»];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 44;1956;;Il Manierismo in campagna;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 45;1956;13;Progetti lavori per la Radio;;;;;;;;;;;;;;;;;;;;;;;
RDq 45;1956;;La valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 45;1956;;La Madonna di Leningrado;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 45;1956;;Il nipote di Rousseau;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 45;1956;;"Diderot ""le contelier""";ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 46;1956;14;Sui Carracci;;;;;;;;;;;;;;;;;;;;;;;
RDq 46;1956;;"""Buonanotte, signor Carracci!"" La macelleria di Annibale";ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 46;1956;;La mostra dei Carracci...(senza titolo);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 47;1956;15;Varie;;;;;;;;;;;;;;;;;;;;;;;
RDq 47;1956;;Antonio Rinaldi [Per Antonio Rinaldi];ED (Prefazione alle Poesie 1958);https://sol.unibo.it/SebinaOpac/resource/poesie/UBO1151872;;;;;;;;;;;;;;;;;;;;;
RDq 48;1956;16; ;;;;;;;;;;;;;;;;;;;;;;;
RDq 48;1956;;Giorgio Morandi (Il catalogo delle stampe di Morandi);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 48;1956;;Montale [Eugenio Montale];ED (Lo scrittoio) ;https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 49;1956;17;"Un pittore a Bologna; Germano Pessarelli";ED (Mostra di Germano Pessarelli)?;;;;;;;;;;;;;;;;;;;;;;
